,"裁剪
结论：","【网络罗列】
806_8081TX_I2C_SCL_N/A_N/A（N/A）、SCL_EEP_N/A_N/A（N/A）;
【裁剪说明】
XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I2C指标链接-->,,,,,I2C指标,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I2C测试,,,,,CIS_SCL_N/A_N/A（N/A）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,整体结果,,Pass,,指标来源,,规格书,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,从端 Address(7位),,,,,0x30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,请选择模式 ->,,,,,快速模式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,电平标准,,,,,1.8V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  主端 -> 从端： 测试点靠近从器件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,测试类型,测试项,,MIN,MAX,指标来源,实测值,判定结果,写信号质量（解析说明读信号）（要求截图能体现边沿细节）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DC测试,SCL(S)&SDA(S),高电平电压,1.65V,1.9V,该指标fail需使用规格书指标评定,参考右侧波形,pass,I2C_SCL(S)_高电平电压、I2C_SCL(S)_低电平电压、I2C_SDA(S)_高电平电压、I2C_SDA(S)_低电平电压、I2C_信号质量(S)_信号质量(S)、I2C_时钟高电平时间(S)_时钟高电平时间(S)、I2C_时钟低电平时间(S)_时钟低电平时间(S)、I2C_时钟上升时间(S)_时钟上升时间(S)、I2C_时钟下降时间(S)_时钟下降时间(S)、I2C_数据上升时间(S)_数据上升时间(S)、I2C_数据下降时间(S)_数据下降时间(S)、I2C_FFC&FPC线缆上要求：时钟下降时间(S)_FFC&FPC线缆上要求：时钟下降时间(S)、I2C_FFC&FPC线缆上要求：数据下降时间(S)_FFC&FPC线缆上要求：数据下降时间(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,低电平电压,-0.15V,0.2V,该指标fail需使用规格书指标评定,参考右侧波形,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,信号质量测试(地线fail需要用短地环测试),SCL(S)&SDA(S),上冲,-,2.0V,该指标fail需使用规格书指标评定,参考右侧波形,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,下冲,-0.2V,-,该指标fail需使用规格书指标评定,参考右侧波形,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,信号质量,"1.串扰：高电平高于VIH、低电平低于VIL
2.回沟：未落在VIL~VIH之间
3.台阶：上升下降时间符合则无影响",,我司指标,参考右侧波形,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC测试,时钟高电平时间(S),,0.6us,-,规格书,0.83us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,时钟低电平时间(S),,1.3us,-,规格书,1.62us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,起始信号建立时间(S),,0.6us,-,规格书,1.3us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,起始信号保持时间(S),,0.6us,-,规格书,0.81us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"时钟上升时间(S)
(30%~70%)",,-,300ns,我司指标,64ns,pass,ZDS3024示波器指标时序分析（可不填实测值）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"时钟下降时间(S)
(70%~30%)",,-,300ns,我司指标,34ns,pass,
I2C_起始信号建立时间(S)_起始信号建立时间(S)、I2C_起始信号保持时间(S)_起始信号保持时间(S)、I2C_数据信号建立时间(S)_数据信号建立时间(S)、I2C_数据信号保持时间(S)_数据信号保持时间(S)、I2C_结束信号建立时间(S)_结束信号建立时间(S)、I2C_空闲时间(S)_空闲时间(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"FFC&FPC线缆上要求：时钟下降时间(S)
(70%~30%)",,"[1.8V]1.1ns
[3.3V]2ns",-,我司指标,,not test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据上升时间(S)
(30%~70%)",,-,300ns,我司指标,54ns,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据下降时间(S)
(70%~30%)",,-,300ns,我司指标,27ns,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"FFC&FPC线缆上要求：数据下降时间(S)
(70%~30%)",,"[1.8V]1.1ns
[3.3V]2ns",-,我司指标,,not test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,数据信号建立时间(S)（参考时钟上升沿）,,100ns,-,规格书,1.23us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据信号保持时间(S)
（参考时钟下降沿）",,0,-,规格书,0.27us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,结束信号建立时间(S),,0.6us,-,规格书,0.83us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,空闲时间(S),,1.3us,-,规格书,,not test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  从端 -> 主端：测试点靠近主器件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,测试类型,测试项,,MIN,MAX,指标来源,实测值,判定结果,读信号质量（解析说明写信号）（要求截图能体现边沿细节）,,,,,,,,ZDS3024示波器指标（可不填实测值）,,,,,,,,,,,,,,,,,,,,,,
,DC测试,SDA(M),高电平电压,1.65V,1.9V,该指标fail需使用规格书指标评定,参考右侧波形,pass,I2C_SDA(M)_高电平电压、I2C_SDA(M)_低电平电压、I2C_数据上升时间(M)_数据上升时间(M)、I2C_数据下降时间(M)_数据下降时间(M)、I2C_FFC&FPC线缆上要求：数据下降时间(M)_FFC&FPC线缆上要求：数据下降时间(M),,,,,,,,I2C_数据建立时间(M)_数据建立时间(M)、I2C_数据保持时间(M)_数据保持时间(M),,,,,,,,,,,,,,,,,,,,,,
,,,低电平电压,-0.15V,0.2V,该指标fail需使用规格书指标评定,参考右侧波形,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC测试,"数据上升时间(M)
(30%~70%)",,-,300ns,我司指标,40ns,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据下降时间(M)
(70%~30%)",,-,300ns,我司指标,15.8ns,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据建立时间(M)
（参考时钟上升沿）",,100ns,-,协议指标,1.63us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据保持时间(M)
（参考时钟下降沿）",,0,-,协议指标,177ns,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,（IPC）I2C死锁功能测试,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,测试类型,测试项,,操作步骤,,预期结果,实测值,判定结果,9个CLK波形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,死锁功能,I2C_SDA,,"1、设备运行，示波器探头分别点在SCL、SDA上，在I2C通讯时强制短路SDA信号。
2、短路发生后，示波器观察I2C_SCL是否出现9个CLK波形。
3、短路释放，I2C仍可正常通讯。",,1、SDA拉低后，短暂延时后出现9个CLK波形，短路释放后I2C仍能正常通讯。,,not test,,,,,,,,,,,,,,,
,I2C测试,,,,,SCL_EEP_N/A_N/A（N/A）;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,整体结果,,Fail,,指标来源,,规格书,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,从端 Address(7位),,,,,0x50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,请选择模式 ->,,,,,快速模式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,电平标准,,,,,1.8V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  主端 -> 从端： 测试点靠近从器件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,测试类型,测试项,,MIN,MAX,指标来源,实测值,判定结果,写信号质量（解析说明读信号）（要求截图能体现边沿细节）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DC测试,SCL(S)&SDA(S),高电平电压,1.65V,1.9V,该指标fail需使用规格书指标评定,参考右侧波形,pass,I2C_SCL(S)_高电平电压、I2C_SCL(S)_低电平电压、I2C_SDA(S)_高电平电压、I2C_SDA(S)_低电平电压、I2C_信号质量(S)_信号质量(S)、I2C_时钟高电平时间(S)_时钟高电平时间(S)、I2C_时钟低电平时间(S)_时钟低电平时间(S)、I2C_时钟上升时间(S)_时钟上升时间(S)、I2C_时钟下降时间(S)_时钟下降时间(S)、I2C_数据上升时间(S)_数据上升时间(S)、I2C_数据下降时间(S)_数据下降时间(S)、I2C_FFC&FPC线缆上要求：时钟下降时间(S)_FFC&FPC线缆上要求：时钟下降时间(S)、I2C_FFC&FPC线缆上要求：数据下降时间(S)_FFC&FPC线缆上要求：数据下降时间(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,低电平电压,-0.15V,0.2V,该指标fail需使用规格书指标评定,参考右侧波形,fail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,信号质量测试(地线fail需要用短地环测试),SCL(S)&SDA(S),上冲,-,2.0V,该指标fail需使用规格书指标评定,参考右侧波形,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,下冲,-0.2V,-,该指标fail需使用规格书指标评定,参考右侧波形,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,信号质量,"1.串扰：高电平高于VIH、低电平低于VIL
2.回沟：未落在VIL~VIH之间
3.台阶：上升下降时间符合则无影响",,我司指标,参考右侧波形,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC测试,时钟高电平时间(S),,0.6us,-,规格书,1.2us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,时钟低电平时间(S),,1.3us,-,规格书,1.27us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,起始信号建立时间(S),,0.6us,-,规格书,0.57us,fail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,起始信号保持时间(S),,0.6us,-,规格书,0.63us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"时钟上升时间(S)
(30%~70%)",,-,300ns,我司指标,41ns,pass,ZDS3024示波器指标时序分析（可不填实测值）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"时钟下降时间(S)
(70%~30%)",,-,300ns,我司指标,1ns,pass,I2C_起始信号建立时间(S)_起始信号建立时间(S)、I2C_起始信号保持时间(S)_起始信号保持时间(S)、I2C_数据信号建立时间(S)_数据信号建立时间(S)、I2C_数据信号保持时间(S)_数据信号保持时间(S)、I2C_结束信号建立时间(S)_结束信号建立时间(S)、I2C_空闲时间(S)_空闲时间(S),,,,,,,,,,,,,,,,,,,,,,,,,,
,,"FFC&FPC线缆上要求：时钟下降时间(S)
(70%~30%)",,"[1.8V]1.1ns
[3.3V]2ns",-,我司指标,,not test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据上升时间(S)
(30%~70%)",,-,300ns,我司指标,44ns,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据下降时间(S)
(70%~30%)",,-,300ns,我司指标,1.16ns,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"FFC&FPC线缆上要求：数据下降时间(S)
(70%~30%)",,"[1.8V]1.1ns
[3.3V]2ns",-,我司指标,,not test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,数据信号建立时间(S)（参考时钟上升沿）,,100ns,-,规格书,0.57us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据信号保持时间(S)
（参考时钟下降沿）",,0,-,规格书,0.14us,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,结束信号建立时间(S),,0.6us,-,规格书,0.59us,fail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,空闲时间(S),,1.3us,-,规格书,,not test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  从端 -> 主端：测试点靠近主器件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,测试类型,测试项,,MIN,MAX,指标来源,实测值,判定结果,读信号质量（解析说明写信号）（要求截图能体现边沿细节）,,,,,,,,ZDS3024示波器指标（可不填实测值）,,,,,,,,,,,,,,,,,,,,,,
,DC测试,SDA(M),高电平电压,1.65V,1.9V,该指标fail需使用规格书指标评定,参考右侧波形,pass,I2C_SDA(M)_高电平电压、I2C_SDA(M)_低电平电压、I2C_数据上升时间(M)_数据上升时间(M)、I2C_数据下降时间(M)_数据下降时间(M)、I2C_FFC&FPC线缆上要求：数据下降时间(M)_FFC&FPC线缆上要求：数据下降时间(M),,,,,,,,I2C_数据建立时间(M)_数据建立时间(M)、I2C_数据保持时间(M)_数据保持时间(M),,,,,,,,,,,,,,,,,,,,,,
,,,低电平电压,-0.15V,0.2V,该指标fail需使用规格书指标评定,参考右侧波形,fail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC测试,"数据上升时间(M)
(30%~70%)",,-,300ns,我司指标,46ns,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据下降时间(M)
(70%~30%)",,-,300ns,我司指标,4.8ns,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据建立时间(M)
（参考时钟上升沿）",,100ns,-,协议指标,132ns,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"数据保持时间(M)
（参考时钟下降沿）",,0,-,协议指标,628ns,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,（IPC）I2C死锁功能测试,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,测试类型,测试项,,操作步骤,,预期结果,实测值,判定结果,9个CLK波形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,死锁功能,I2C_SDA,,"1、设备运行，示波器探头分别点在SCL、SDA上，在I2C通讯时强制短路SDA信号。
2、短路发生后，示波器观察I2C_SCL是否出现9个CLK波形。
3、短路释放，I2C仍可正常通讯。",,1、SDA拉低后，短暂延时后出现9个CLK波形，短路释放后I2C仍能正常通讯。,,not test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
